"Name","ParticleCount","MinLife","MaxLife","ParticleMinInterval","ParticleMaxInterval","ParticleMinLife","ParticleMaxLife","ParticleMinAngle","ParticleMaxAngle","ParticleAngleRelativeToParent","ParticleRandomAngle","ParticleMinRadius","ParticleMaxRadius","ParticleMinSpeed","ParticleMaxSpeed","ParticleStartZ","ParticleMinVelocityZ","ParticleMaxVelocityZ","ParticleGravity","ParticleMinTailLength","ParticleMaxTailLength","ParticleResource","ParticleExportName","RotateToDirection","LoopParticleClip","StartScale","EndScale","FadeOutDuration","Inertia","EnemyVersion"
"Rock Pieces Emitter",13,400,400,,5,800,1200,,360,,"true",,,30,150,20,100,250,-2000,,,"sc/effects.sc","Rock1Particle",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Rock2Particle",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Rock3Particle",,,,,,,
"HotCoals_sparks",4,100,5000,,50,300,800,,360,,"true",7,7,10,80,,10,100,500,,,"sc/effects.sc","SparkleBlue",,,,,,,
"DragSparkEmitter",30,500,500,,40,300,400,90,90,"true",,2,2,100,200,35,,,,,,"sc/effects.sc","SparkleBlueOffset1","true",,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","SparkleBlueOffset2",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","SparkleBlueOffset3",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","SparkleBlueOffset4",,,,,,,
"Fireball_explosion_smoke",34,100,100,1,1,1500,2300,,360,,"true",3,7,10,15,14,20,30,10,,,"sc/effects.sc","explosion_cloud_1","true","true",100,120,1500,20,
"Fireball_explosion_sparks",22,190,190,1,3,800,900,,360,,"true",1,3,70,80,73,500,900,-2000,,20,"sc/effects.sc","SparkleBlue","true",,100,1,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","SparkleBlue",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","SparkleBlue",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","particle_coal4",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","particle_coal3",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","particle_coal2",,,,,,,
"Fireball_explosion_glow",12,190,190,1,3,1200,2800,-30,30,,"true",,2,,50,10,20,90,35,,,"sc/effects.sc","Death_blue_smoke","true",,23,30,3500,40,
"explosion_lava",15,200,200,,20,900,1000,,360,,"true",1,1,40,90,30,800,900,-3000,3,15,"sc/effects.sc","particle_coal9","true",,120,20,,,
"explosion_gradients",1,190,190,1,1,4000,5000,,,,"true",,,,,,,,,,,"sc/effects.sc","darken_gradient",,,135,135,,,
"explosion_base",32,100,100,1,1,1800,2200,,360,"true","true",1,8,,,,,50,-3500,,,"sc/effects.sc","particle_coal1",,"true",,,300,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","particle_coal2",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","particle_coal3",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","particle_coal4",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","particle_coal5",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","particle_coal6",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","particle_coal7",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","particle_coal8",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","particle_coal9",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","particle_coal10",,,,,,,
"explosion_shadow",12,100,100,1,1,2700,2800,,360,,"true",4,7,,,,,,,,,"sc/effects.sc","explosion_cloud_1","true","true",150,150,5000,,
"explosion_fire",4,300,300,1,1,1200,1200,,360,,,1,7,1,10,,90,100,,,,"sc/effects.sc","FireParticle1",,,200,50,1500,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","FireParticle2",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","FireParticle3",,,,,,,
"explosion_continousFire",8,1500,1500,150,100,700,800,,360,,"true",1,3,,10,,,,300,,,"sc/effects.sc","MolotovTrailParticle","true",,200,1,,,
"explosion_glow",8,100,100,1,1,500,2500,,360,,"true",1,5,,,25,,,100,,,"sc/effects.sc","Deco_fireplace_glow","true",,150,50,2000,,
"TargetDummy_planks",31,130,130,2,5,500,1200,,360,,"true",1,3,10,100,8,100,300,-500,,,"sc/effects.sc","crate_particle_1","true",,120,10,,20,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","crate_particle_2",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","crate_particle_3",,,,,,,
"TargetDummy_planks2",15,130,130,2,5,2500,3000,,360,,"true",1,3,10,50,4,400,700,-1200,,,"sc/effects.sc","crate_particle_1","true",,100,50,,20,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","crate_particle_2",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","crate_particle_3",,,,,,,
"TargetDummy_smoke",10,150,150,1,3,1100,2500,,360,"true",,,2,5,15,59,50,90,-20,,1000,"sc/effects.sc","smoke_cloud_1","true","true",140,1,400,,
"Death_sparkle_still1",12,180,180,1,3,300,2500,-20,20,"true",,,2,,35,25,,50,-150,,,"sc/effects.sc","Death_blue_sparkle1",,"true",80,10,2000,25,"Death_sparkle2_purple"
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Death_blue_sparkle2",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Death_blue_sparkle3",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Death_blue_sparkle4",,,,,,,
"Death_blue_smoke_shadow",6,190,190,1,3,1200,2800,-30,30,,"true",,2,,50,,-20,-90,-35,,,"sc/effects.sc","Death_blue_smoke","true",,25,40,2500,40,
"Death_sparkle2_purple",12,180,180,1,3,600,2900,-20,20,"true",,,2,,35,25,,50,-150,,,"sc/effects.sc","Death_purple_sparkle1",,"true",80,10,1600,25,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Death_purple_sparkle2",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Death_purple_sparkle3",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Death_purple_sparkle4",,,,,,,
"Death_enemy_puff",12,190,190,1,3,1200,2800,-30,30,,"true",,2,,50,10,20,90,35,,,"sc/effects.sc","explosion_purple_glow1","true",,23,30,2000,40,
"ArcherTower_particle1",1,180,180,1,3,1000,1200,,360,"true",,,,10,50,,450,600,-2000,,,"sc/effects.sc","SparkleBlue",,,100,80,200,55,
"cannon_glow_top",1,,,,,1200,1400,,,,,,,,,,40,40,30,,,"sc/effects.sc","Deco_small_glow2",,,,,100,,
"cannon_smoke1",10,,,,,500,1500,,360,"true",,,,5,25,,80,120,-60,,250,"sc/effects.sc","smoke_cloud_1","true","true",75,40,1800,,
"cannon_firePareticles",9,150,150,1,50,300,400,-40,40,"true",,,,100,200,,10,200,-200,,,"sc/effects.sc","fireplace_particle","true",,180,10,200,,
"cannon_glow",1,,,,,400,600,,,"true",,,,,,,,,,,,"sc/effects.sc","Deco_small_glow","true",,,,,,
"cannon_smoke_shadow",5,,,,,1100,2500,,360,"true",,,,-5,-15,,-50,-90,-20,,1000,"sc/effects.sc","smoke_cloud_1","true","true",80,30,2000,,
"cannon_hit_rock_emiter",4,200,400,,5,400,800,,360,,"true",,,30,75,35,50,120,-1000,,,"sc/effects.sc","Rock1Particle",,,80,10,,50,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Rock2Particle",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Rock3Particle",,,,,,,
"cannon_hit_smokePuff",7,2,2,,,300,700,10,50,,"true",,,30,40,,200,250,-1000,,,"sc/effects.sc","SteamSmall","true","true",100,125,250,10,
"Tower_fire_particles2_enemy",3,50,50,1,10,500,800,,,,,,,,,,,,,,,"sc/effects.sc","SparkleBlue",,,,,2000,,"Tower_fire_particles2_enemy"
"FireballEmitterTrail",50,800,800,5,10,600,800,-360,360,,"true",-2,2,1,10,,50,200,35,,,"sc/effects.sc","fireball_trail1",,,55,80,500,1,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","fireball_trail2",,,,,,,
"fireball_trial_spark",16,800,800,5,10,600,800,,360,,"true",-4,4,15,30,,100,200,35,,,"sc/effects.sc","Sparkle",,,55,80,500,1,
"fireball_trail_glow",50,800,800,5,10,600,800,-360,360,,"true",-2,2,1,10,,50,200,35,,,"sc/effects.sc","fireball_trail3",,,55,80,500,1,
"catapult_hit_smoke",12,1,1,,,1000,1200,,360,,,,,100,120,3,10,10,25,,,"sc/effects.sc","catapult_hit_cloud_1",,,,,800,350,
"catapult_smokePuff",10,100,100,,,600,1000,45,90,,"true",-2,2,10,80,42,50,120,50,,,"sc/effects.sc","catapult_hit_cloud_1",,,50,80,600,80,
"catapult_grass_emitter",5,400,400,,5,800,1200,,360,,"true",,,60,150,20,100,250,-2000,,,"sc/effects.sc","grass_particle_1",,,100,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","grass_particle_2",,,,,,,
"catapult_rock_Emitter",13,400,400,,5,800,1200,,360,,"true",,,50,150,20,100,250,-2000,,,"sc/effects.sc","Rock1Particle",,,100,150,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Rock2Particle",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Rock3Particle",,,,,,,
"catapult_hit_shadow",8,1,1,,,1000,1200,,360,,,,,20,20,,,,-350,,,"sc/effects.sc","catapult_hit_cloud_1",,,,,1000,10,
"towerExplode_Smoke",10,1,1,,,800,1000,,360,,,,,70,75,8,,,50,,,"sc/effects.sc","tower_destr_cloud_1",,,,,500,125,
"TowerExplode_sparks",20,200,200,,10,250,350,,360,,"true",,,200,250,,,,,,,"sc/effects.sc","Sparkle",,,,,,,
"TowerExplode_smokePuff",11,,,,,800,1000,,360,,"true",,,,20,40,80,100,25,,,"sc/effects.sc","tower_destr_cloud_1",,,,,900,,
"TowerExplode_explosion",37,100,100,1,1,2500,300,,360,,"true",,,250,300,,,,,,,"sc/effects.sc","tower_destr_cloud_2",,,75,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","tower_destr_cloud_2",,,,,,,
"TowerExplode_rockEmitter",23,350,350,,10,600,2000,,360,"true","true",2,4,,60,,300,1000,-3500,,,"sc/effects.sc","Rock1Particle","true",,50,80,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","towerExplode_wall1",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","towerExplode_wall2",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","towerExplode_wall3",,,,,,,
"Goblin_hut_woodExplosion",54,150,150,5,10,1000,1600,,360,"true","true",,2,50,80,30,300,700,-1500,,,"sc/effects.sc","crate_particle_1","true",,100,80,200,25,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","crate_particle_2",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","crate_particle_3",,,,,,,
"knight_deploy_dustPuff1",12,1,1,,,800,1300,,360,,"true",-1,,40,70,,20,,,,,"sc/effects.sc","d1","true",,150,160,1650,100,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","d2",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","d3",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","d4",,,,,,,
"knight_deploy_rocks_hitGround",13,400,400,,5,1300,2000,,360,,"true",3,3,30,50,20,150,500,-2000,,,"sc/effects.sc","Rock1Particle",,,80,50,600,50,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Rock2Particle",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Rock3Particle",,,,,,,
"knight_depoy_dustShadow",3,1,1,,,900,1300,,360,,"true",-1,,-40,-70,,-20,,,,,"sc/effects.sc","d3","true",,230,260,1000,100,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","d4",,,,,,,
"knight_deploy_dustPuff2",55,1,1,,,500,600,,360,,"true",3,4,40,50,21,20,,25,,,"sc/effects.sc","d3",,,80,80,500,100,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","d2",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","d3",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","d3_green_dark",,,,,,,
"knight_die_particle_sword",1,1,1,,1,24000,25000,,360,,"true",,,,50,,,,,,,"sc/effects.sc","particle_sword",,,105,100,400,60,
"knight_speps_dust1",3,1,1,,,600,1100,,360,,"true",-1,,,,,20,,,,,"sc/effects.sc","d2","true",,60,80,800,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","d3",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","d4",,,,,,,
"Death_elixir_burst1",21,80,80,1,3,300,1000,,360,,,,,20,70,39,,600,-1700,,100,"sc/effects.sc","death_particle_elixir1",,,100,40,200,55,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","death_particle_elixir2",,,,,,,
"Death_elixir_ground1",3,80,80,1,3,3000,4000,,360,"true",,,3,10,20,,,,-1700,,,"sc/effects.sc","death_ground_elixir1",,,100,40,2000,100,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","death_ground_elixir2",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","death_ground_elixir3",,,,,,,
"Tower_destroyed_ground",1,,,,,800000,800000,,,,,,,,,,,,,,,"sc/building_tower.sc","Tower_destroyed_ground1",,,,,,,
"Big_rock_particle1",1,180,180,1,3,1900,1900,,360,,"true",,,70,70,,,,15,,,"sc/effects.sc","big_rock_particle1",,,80,80,500,55,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","big_rock_particle2",,,,,,,
"giant_deploy_dustPuff",60,1,1,,,700,750,,360,,"true",4,4,60,80,,20,,25,,,"sc/effects.sc","d3",,,90,120,600,125,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","d2",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","d3",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","d3_green_dark",,,,,,,
"giant_deploy_rocks_hitGround",13,400,400,,5,1300,2000,,360,,"true",3,6,60,80,20,150,500,-2000,,,"sc/effects.sc","Rock1Particle",,,80,50,600,40,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Rock2Particle",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Rock3Particle",,,,,,,
"giant_deploy_dustPuff_shadow",60,1,1,,,700,750,,360,,"true",4,4,60,80,,20,,25,,,"sc/effects.sc","d3",,,90,120,700,125,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","d2",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","d3",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","d3_green_dark",,,,,,,
"giant_death_elixir_burst1",23,80,80,1,3,300,1000,,360,,,,,20,70,39,,600,-1700,,100,"sc/effects.sc","death_particle_elixir1",,,120,60,200,55,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","death_particle_elixir2",,,,,,,
"giant_death_puff1",15,190,190,1,3,1200,2800,-30,30,,"true",2,4,,50,10,20,90,35,,,"sc/effects.sc","explosion_purple_glow1","true",,40,30,2000,40,
"giant_death_puff1_shadow",6,190,190,1,3,1200,2800,-30,30,,"true",,2,,50,,-20,-90,-35,,,"sc/effects.sc","Death_blue_smoke","true",,25,40,2500,40,
"giant_death_elixir_ground1",4,80,80,1,3,3000,4000,,360,"true",,,3,10,20,,,,-1700,,,"sc/effects.sc","death_ground_elixir1",,,180,40,2000,100,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","death_ground_elixir2",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","death_ground_elixir3",,,,,,,
"giant_hit_sparks",10,100,100,,10,100,100,1,360,"true","true",,2,300,350,50,60,100,,500,500,"sc/effects.sc","Sparkle","true",,110,150,,,
"giant_hit_puff1",7,,,,,350,400,,360,"true",,-2,2,25,20,50,200,250,,,600,"sc/effects.sc","d5","true",,40,100,600,50,
"giant_hitpuff2",24,,,,,400,400,-100,360,"true","true",,,100,100,49,,,,,,"sc/effects.sc","d3",,,100,50,500,100,
"Spell_rage_smoke1",16,190,190,1,3,2200,5800,,360,,"true",5,10,,50,21,,,,,,"sc/effects.sc","explosion_purple_glow1","true",,50,100,9000,40,
"Spell_rage_smoke2",16,,50,,,1200,2800,,360,,"true",2,20,,50,10,,50,1,,,"sc/effects.sc","rage_glowPurple",,,200,50,1000,50,
"Spell_rage_glowFast",1,,200,,5,200,200,,360,"true",,,,,,22,,,,,,"sc/effects.sc","rage_effect_glow1",,,50,130,50,,
"Spell_rage_sparckle1",32,180,180,1,3,300,800,,360,"true",,,18,40,100,44,80,230,-600,,,"sc/effects.sc","Death_purple_sparkle1",,"true",90,10,300,30,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Death_purple_sparkle2",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Death_purple_sparkle3",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Death_purple_sparkle4",,,,,,,
"Spell_rage_sparkle1_loop",7,180,180,1,3,300,1800,,360,"true",,,18,40,100,44,80,230,-600,,,"sc/effects.sc","Death_purple_sparkle1",,"true",90,10,300,30,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Death_purple_sparkle2",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Death_purple_sparkle3",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Death_purple_sparkle4",,,,,,,
"inferno_hit_sparks",10,150,,,50,150,250,,360,,,2,2,100,200,40,,,,,,"sc/effects.sc","sharp_spark","true","true",5,20,100,,
"inferno_stage2_sparks",28,3000,,100,500,600,800,220,310,,"true",,,50,70,,,,500,,,"sc/effects.sc","inferno_spark",,,80,130,,20,
"inferno_stage3_sparks",27,3000,,50,200,600,900,220,310,,"true",1,2,80,110,,,,700,,,"sc/effects.sc","inferno_spark",,,90,130,,30,
"inferno_stage2_peak_flame",27,3000,,50,200,800,1200,220,310,,"true",1,2,10,15,,,,100,,,"sc/effects.sc","inferno_spark_red",,,300,450,,70,
"inferno_stage3_peak_flame",32,3000,,50,200,950,1350,220,310,,"true",1,2,10,15,,,,130,,,"sc/effects.sc","inferno_spark",,,400,550,,70,
"touch_sparkle1",1,200,200,1,3,400,600,,360,,,,,,,,,,1,50,100,"sc/effects.sc","Death_blue_sparkle1",,"true",60,10,200,1,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Death_blue_sparkle2",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Death_blue_sparkle3",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Death_blue_sparkle4",,,,,,,
"touch_sparkle2",1,200,200,1,3,400,600,,360,,,,,,,,,,1,50,100,"sc/effects.sc","Death_purple_sparkle1",,"true",60,10,200,1,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Death_purple_sparkle2",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Death_purple_sparkle3",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Death_purple_sparkle4",,,,,,,
"Small_rock_particle1",8,180,180,1,3,1900,1900,,360,,"true",1,2,25,35,,,,10,,,"sc/effects.sc","big_rock_particle1",,,40,40,500,10,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","big_rock_particle2",,,,,,,
"BombTower_hit_flame",50,350,350,5,10,600,800,-360,360,,"true",-2,2,1,10,,50,200,35,,,"sc/effects.sc","fireball_trail1",,,70,50,500,1,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","fireball_trail2",,,,,,,
"Rocket_Emitter_Smoketrail",55,800,800,5,10,1800,2000,-360,360,,"true",-2,2,,,,,,35,,,"sc/effects.sc","fireball_trail1",,,120,40,500,20,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","fireball_trail2",,,,,,,
"Rocket_Emitter_Sparks",13,800,800,,10,600,800,,360,,"true",-4,4,15,300,,,50,35,,,"sc/effects.sc","Sparkle",,,55,80,500,20,
"Rocket_Emitter_Glow",50,800,800,5,10,800,800,-360,360,,"true",-3,3,,,,,,35,,,"sc/effects.sc","fireball_trail3",,,150,20,,1,
"dragon_hit_sparks",15,190,190,1,3,800,900,-65,65,"true",,1,3,40,60,41,300,500,-2000,,20,"sc/effects.sc","SparkleBlue","true",,60,1,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","SparkleBlue",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","SparkleBlue",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","particle_coal4",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","particle_coal3",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","particle_coal2",,,,,,,
"DragonEmitterTrail",31,1200,2000,5,10,700,900,-360,360,,"true",,,1,5,,25,150,35,,,"sc/effects.sc","fireball_trail1",,,35,60,600,1,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","fireball_trail2",,,,,,,
"dragon_trail_glow",27,800,800,5,10,600,800,-360,360,,"true",,,1,10,,50,200,35,,,"sc/effects.sc","fireball_trail3",,,55,80,500,1,
"dragon_fire_hit",11,1,1,,,100,150,-90,90,,"true",-1,3,2,2,,,,25,,,"sc/effects.sc","dragon_fire_hit","true",,120,150,200,125,
"dragon_hit_smoke",10,1,1,,,600,650,-45,45,,"true",3,3,50,110,,150,200,25,,,"sc/effects.sc","fireball_trail2","true",,20,120,500,250,
"Spell_freeze_snowflake1_loop",3,180,180,2,2,1000,1000,,360,"true","true",8,9,15,10,66,,,-40,,,"sc/effects.sc","snowflake_anim",,,50,55,,,
"Spell_freeze_snowflake2_loop",2,150,150,3,3,1000,1100,,360,,,5,10,14,16,71,2,2,-180,,,"sc/effects.sc","snowflake_anim",,,50,40,100,,
"openChest_epic_stars2",22,300,300,2,9,300,800,-180,,"true",,,10,,400,44,300,900,-1000,,,"sc/effects.sc","Death_purple_sparkle1",,"true",150,10,300,30,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Death_purple_sparkle2",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Death_purple_sparkle3",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Death_purple_sparkle4",,,,,,,
"Card_upgraded_effect1",70,1,1,,1,900,1800,,360,"true",,,20,,100,,,,200,,,"sc/effects.sc","Green_sparkle1",,"true",150,10,300,30,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Green_sparkle2",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Green_sparkle3",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Green_sparkle4",,,,,,,
"Card_upgrade_effect2",22,3000,3000,10,100,900,1800,,360,"true",,-20,20,,100,,,,200,,,"sc/effects.sc","Green_sparkle1",,"true",150,10,300,30,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Green_sparkle2",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Green_sparkle3",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Green_sparkle4",,,,,,,
"Card_upgrade_effect3",15,1,1,,,2000,3800,,360,"true",,-20,20,,,,50,100,,,,"sc/effects.sc","Haze1",,"true",150,10,4000,30,
"openChest_common_effect_smoke",11,190,190,1,3,2200,5800,,360,,"true",3,8,,50,41,,50,,,,"sc/effects.sc","Smoke_puff_01","true",,40,90,8000,40,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Smoke_puff_02",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"sc/effects.sc","Smoke_puff_03",,,,,,,
