"TID","EN","FR","DE","ES","IT","NL","NO","TR","JP","KR","RU","AR","PT","CN","CNT"
"TID_MATCHMAKING","Searching\nfor opponent","Recherche\nd'adversaire","Gegner\nsuchen","Buscando\nrival","Ricerca\navversari","Tegenstander\nzoeken...","Søker etter\nmotstander","Rakip\naranıyor","対戦相手を\n探しています","상대\n찾는 중","Ищем\nпротивника","البحث\nعن خصم","Buscando\nadversário","正在\n搜索对手","正在搜尋\n對手"
"TID_MATCHMAKING_CHALLENGE","Waiting for clan member","En attente d'un membre du clan","Auf Clanmitglied warten ...","Esperando a un miembro del clan...","Attendi membro del clan","Wachten op clanlid...","Venter på klanmedlem","Klan üyesi bekleniyor","クランメンバー待ち","클랜원 기다리는 중","Ждем соклановца","في انتظار عضو قبيلة","Aguardando membro do clã","正在等待部落成员","正在等待部落成員"
"TID_CANCEL","Cancel","Annuler","Abbr.","Cancelar","Annulla","Annuleren","Avbryt","İptal","キャンセル","취소","Отмена","إلغاء","Cancelar","取消","取消"
"TID_CANCELLING","Canceling","Annulation","Bricht ab","Cancelando...","Annullamento","Annuleren","Avbryter","Ediliyor...","キャンセル中","취소 중","Отменяем","يتم الإلغاء","Cancelando","正在取消","取消中"
"TID_TITLE_LEADERBOARD","Top Royales","Classements royaux","Beste Royales","Mejores nobles","Top Royale","Beste aristocraten","Toppadel","En İyi Asiller","ランキング","로얄 랭킹","Лучшие роялисты","أفضل الملكيين","Melhores Royales","皇室排行榜","皇室排行榜"
"TID_CHEST_DESCRIPTION_BASIC","Contains <c38c9ff>gold</c> and <c38c9ff><CARD_COUNT> cards</c>.","Contient de l'<c38c9ff>or</c> et <c38c9ff><CARD_COUNT> cartes</c>.","Enthält <c38c9ff>Gold</c> und <c38c9ff><CARD_COUNT> Karten</c>.","Contiene <c38c9ff>oro</c> y <c38c9ff><CARD_COUNT> cartas</c>.","Contiene <c38c9ff>oro</c> e <c38c9ff><CARD_COUNT> carte</c>.","Bevat <c38c9ff>goud</c> en <c38c9ff><CARD_COUNT> kaarten</c>.","Inneholder <c38c9ff>gull</c> og <c38c9ff><CARD_COUNT> kort</c>.","<c38c9ff>Altın</c> ve <c38c9ff><CARD_COUNT> kart</c> içerir.","<c38c9ff>ゴールド</c>と<c38c9ff>カード<CARD_COUNT>枚入り。</c>","<c38c9ff>골드</c> 및 <c38c9ff>카드 <CARD_COUNT>장이 들어있습니다</c>.","Содержит <c38c9ff>золото</c> и <c38c9ff>карты (<CARD_COUNT> шт.)</c>.","تحتوي على <c38c9ff>الذهب</c> و<c38c9ff><CARD_COUNT>من البطاقات</c>.","Contém <c38c9ff>ouro</c> e <c38c9ff><CARD_COUNT> cartas</c>.","内含<c38c9ff>金币</c>和<c38c9ff><CARD_COUNT>张卡牌</c>。","包含<c38c9ff>黃金</c>和 <c38c9ff><CARD_COUNT> 張卡片</c>。"
"TID_CHEST_DESCRIPTION_ONE_RARE","Contains <c38c9ff>gold</c> and <c38c9ff><CARD_COUNT> cards</c>.\nAt least <c38c9ff>1 rare</c>.","Contient de l'<c38c9ff>or</c> et <c38c9ff><CARD_COUNT> cartes</c>.\nAu moins <c38c9ff>1 rare</c>.","Enthält <c38c9ff>Gold</c> und <c38c9ff><CARD_COUNT> Karten</c>.\nMindestens <c38c9ff>1 seltene</c>.","Contiene <c38c9ff>oro</c> y <c38c9ff><CARD_COUNT> cartas</c>.\n(Al menos <c38c9ff>1 especial</c>).","Contiene <c38c9ff>oro</c> e <c38c9ff><CARD_COUNT> carte</c>.\nAlmeno <c38c9ff>1 rara</c>.","Bevat <c38c9ff>goud</c> en <c38c9ff><CARD_COUNT> kaarten</c>.\nTen minste <c38c9ff>1 zeldzame</c>.","Inneholder <c38c9ff>gull</c> og <c38c9ff><CARD_COUNT> kort</c>.\nMinst <c38c9ff>1 sjeldent</c>.","<c38c9ff>Altın</c> ve <c38c9ff><CARD_COUNT> kart</c> içerir.\nEn az <c38c9ff>1 ender</c>.","<c38c9ff>ゴールド</c>と<c38c9ff>カード<CARD_COUNT>枚入り。</c>\n<c38c9ff>1枚はレア</c>確定。","<c38c9ff>골드</c> 및 <c38c9ff>카드 <CARD_COUNT>장이 들어있습니다</c>.\n최소한 <c38c9ff>희귀 카드가 1장 포함됩니다</c>.","Содержит <c38c9ff>золото</c> и <c38c9ff>карты (<CARD_COUNT> шт.)</c>.\nМинимум <c38c9ff>1 редкая</c>.","تحتوي على <c38c9ff>الذهب</c> و<c38c9ff><CARD_COUNT>من البطاقات</c>.\nعلى الأقل <c38c9ff>بطاقة نادرة</c>.","Contém <c38c9ff>ouro</c> e <c38c9ff><CARD_COUNT> cartas</c>.\nPelo menos <c38c9ff>1 rara</c>.","内含<c38c9ff>金币</c>和<c38c9ff><CARD_COUNT>张卡牌</c>。\n至少包含<c38c9ff>1张稀有卡牌</c>。","包含<c38c9ff>黃金</c>和 <c38c9ff><CARD_COUNT> 張卡片</c>。\n可從中獲得至少 <c38c9ff>1 張稀有卡片</c>。"
"TID_CHEST_DESCRIPTION_MULTIPLE_RARES","Contains <c38c9ff>gold</c> and <c38c9ff><CARD_COUNT> cards</c>.\nAt least <c38c9ff><RARE_COUNT> rares</c>.","Contient de l'<c38c9ff>or</c> et <c38c9ff><CARD_COUNT> cartes</c>.\nAu moins <c38c9ff><RARE_COUNT> rares</c>.","Enthält <c38c9ff>Gold</c> und <c38c9ff><CARD_COUNT> Karten</c>.\nMindestens <c38c9ff><RARE_COUNT> seltene</c>.","Contiene <c38c9ff>oro</c> y <c38c9ff><CARD_COUNT> cartas</c>.\n(Al menos <c38c9ff><RARE_COUNT> especiales</c>).","Contiene <c38c9ff>oro</c> e <c38c9ff><CARD_COUNT> carte</c>.\nAlmeno <c38c9ff><RARE_COUNT> rare</c>.","Bevat <c38c9ff>goud</c> en <c38c9ff><CARD_COUNT> kaarten</c>.\nTen minste <c38c9ff><RARE_COUNT> zeldzame</c>.","Inneholder <c38c9ff>gull</c> og <c38c9ff><CARD_COUNT> kort</c>.\nMinst <c38c9ff><RARE_COUNT> sjeldne</c>.","<c38c9ff>Altın</c> ve <c38c9ff><CARD_COUNT> kart</c> içerir.\nEn az <c38c9ff><RARE_COUNT> ender</c>.","<c38c9ff>ゴールド</c>と<c38c9ff>カード<CARD_COUNT>枚入り。</c>\n<c38c9ff><RARE_COUNT>枚はレア</c>確定。","<c38c9ff>골드</c> 및 <c38c9ff>카드 <CARD_COUNT>장이 들어있습니다</c>.\n최소한 <c38c9ff>희귀 카드가 <RARE_COUNT>장 포함됩니다</c>.","Содержит <c38c9ff>золото</c> и <c38c9ff>карты (<CARD_COUNT> шт.)</c>.\nРедких минимум <c38c9ff><RARE_COUNT></c>.","تحتوي على <c38c9ff>الذهب</c> و<c38c9ff><CARD_COUNT>من البطاقات</c>.\nعلى الأقل <c38c9ff><RARE_COUNT> من البطاقات النادرة</c>.","Contém <c38c9ff>ouro</c> e <c38c9ff><CARD_COUNT> cartas</c>.\nPelo menos <c38c9ff><RARE_COUNT> raras</c>.","内含<c38c9ff>金币</c>和<c38c9ff><CARD_COUNT>张卡牌</c>。\n至少包含<c38c9ff><RARE_COUNT>张稀有卡牌</c>。","包含<c38c9ff>黃金</c>和 <c38c9ff><CARD_COUNT> 張卡片</c>。\n可從中獲得至少 <c38c9ff><RARE_COUNT> 張稀有卡片</c>。"
"TID_CHEST_DESCRIPTION_ONE_EPIC","Contains <c38c9ff>gold</c> and <c38c9ff><CARD_COUNT> cards</c>.\nAt least <c38c9ff>1 epic</c> and <c38c9ff><RARE_COUNT> rares</c>.","Contient de l'<c38c9ff>or</c> et <c38c9ff><CARD_COUNT> cartes</c>.\nAu moins <c38c9ff>1 épique</c> et <c38c9ff><RARE_COUNT> rares</c>.","Enthält <c38c9ff>Gold</c> und <c38c9ff><CARD_COUNT> Karten</c>.\nMindestens <c38c9ff>1 epische</c> und <c38c9ff><RARE_COUNT> seltene</c>.","Contiene <c38c9ff>oro</c> y <c38c9ff><CARD_COUNT> cartas</c>.\n(Al menos <c38c9ff>1 épica</c> y <c38c9ff><RARE_COUNT> especiales</c>).","Contiene <c38c9ff>oro</c> e <c38c9ff><CARD_COUNT> carte</c>.\nAlmeno <c38c9ff>1 epica</c> e <c38c9ff><RARE_COUNT> rare</c>.","Bevat <c38c9ff>goud</c> en <c38c9ff><CARD_COUNT> kaarten</c>.\nTen minste <c38c9ff>1 epische</c> en <c38c9ff><RARE_COUNT> zeldzame</c>.","Inneholder <c38c9ff>gull</c> og <c38c9ff><CARD_COUNT> kort</c>.\nMinst <c38c9ff>1 episk</c> og <c38c9ff><RARE_COUNT> sjeldne</c>.","<c38c9ff>Altın</c> ve <c38c9ff><CARD_COUNT> kart</c> içerir.\nEn az <c38c9ff>1 destansı</c> ve <c38c9ff><RARE_COUNT> ender</c>.","<c38c9ff>ゴールド</c>と<c38c9ff>カード<CARD_COUNT>枚入り。</c>\n<c38c9ff>1枚はスーパーレア</c>、<c38c9ff><RARE_COUNT>枚はレア</c>確定。","<c38c9ff>골드</c> 및 <c38c9ff>카드 <CARD_COUNT>장이 들어있습니다</c>.\n최소한 <c38c9ff>영웅 카드 1장</c> 및 <c38c9ff>희귀 카드 <RARE_COUNT>장이 포함됩니다</c>.","Содержит <c38c9ff>золото</c> и <c38c9ff>карты (<CARD_COUNT> шт.)</c>.\nМинимум <c38c9ff>1 эпическая и</c><c38c9ff> редкие (<RARE_COUNT> шт.)</c>.","تحتوي على <c38c9ff>الذهب</c> و<c38c9ff><CARD_COUNT> من البطاقات</c>.\nعلى الأقل <c38c9ff>بطاقة ممتازة</c> و<c38c9ff><RARE_COUNT> من البطاقات النادرة</c>.","Contém <c38c9ff>ouro</c> e <c38c9ff><CARD_COUNT> cartas</c>.\nPelo menos <c38c9ff>1 épica</c> e <c38c9ff><RARE_COUNT> raras</c>.","内含<c38c9ff>金币</c>和<c38c9ff><CARD_COUNT>张卡牌</c>。\n至少包含<c38c9ff>1张史诗卡牌</c>和<c38c9ff><RARE_COUNT>张稀有卡牌</c>。","包含<c38c9ff>黃金</c>和<c38c9ff><CARD_COUNT> 張卡片</c>。\n可從中獲得至少 <c38c9ff>1 張史詩卡片</c>以及 <c38c9ff><RARE_COUNT> 張稀有卡片</c>。"
"TID_CHEST_DESCRIPTION_MULTIPLE_EPICS","Contains <c38c9ff>gold</c> and <c38c9ff><CARD_COUNT> cards</c>.\nAt least <c38c9ff><EPIC_COUNT> epics</c> and <c38c9ff><RARE_COUNT> rares</c>.","Contient de l'<c38c9ff>or</c> et <c38c9ff><CARD_COUNT> cartes</c>.\nAu moins <c38c9ff><EPIC_COUNT> épiques</c> et <c38c9ff><RARE_COUNT> rares</c>.","Enthält <c38c9ff>Gold</c> und <c38c9ff><CARD_COUNT> Karten</c>.\nMindestens <c38c9ff><EPIC_COUNT> epische</c> und <c38c9ff><RARE_COUNT> seltene</c>.","Contiene <c38c9ff>oro</c> y <c38c9ff><CARD_COUNT> cartas</c>.\n(Al menos <c38c9ff><EPIC_COUNT> épicas</c> y <c38c9ff><RARE_COUNT> especiales</c>).","Contiene <c38c9ff>oro</c> e <c38c9ff><CARD_COUNT> carte</c>.\nAlmeno <c38c9ff><EPIC_COUNT> epiche</c> e <c38c9ff><RARE_COUNT> rare</c>.","Bevat <c38c9ff>goud</c> en <c38c9ff><CARD_COUNT> kaarten</c>.\nTen minste <c38c9ff><EPIC_COUNT> epische</c> en <c38c9ff><RARE_COUNT> zeldzame</c>.","Inneholder <c38c9ff>gull</c> og <c38c9ff><CARD_COUNT> kort</c>.\nMinst <c38c9ff><EPIC_COUNT> episke</c> og <c38c9ff><RARE_COUNT> sjeldne</c>.","<c38c9ff>Altın</c> ve <c38c9ff><CARD_COUNT> kart</c> içerir.\nEn az <c38c9ff><EPIC_COUNT> destansı</c> ve <c38c9ff><RARE_COUNT> ender</c>.","<c38c9ff>ゴールド</c>と<c38c9ff>カード<CARD_COUNT>枚入り。</c>\n<c38c9ff><EPIC_COUNT>枚はスーパーレア</c>、<c38c9ff><RARE_COUNT>枚はレア</c>確定。","<c38c9ff>골드</c> 및 <c38c9ff>카드 <CARD_COUNT>장이 들어있습니다</c>.\n최소한 <c38c9ff>영웅 카드 <EPIC_COUNT>장</c> 및 <c38c9ff>희귀 카드 <RARE_COUNT>장이 포함됩니다</c>.","Содержит <c38c9ff>золото</c> и <c38c9ff>карты (<CARD_COUNT> шт.)</c>.\nМинимум <c38c9ff>эпические —<EPIC_COUNT> и</c><c38c9ff>редкие — <RARE_COUNT></c>.","تحتوي على <c38c9ff>الذهب</c> و<c38c9ff><CARD_COUNT>من البطاقات</c>.\nعلى الأقل <c38c9ff><EPIC_COUNT> من البطاقات الممتازة</c> و<c38c9ff><RARE_COUNT> من البطاقات النادرة</c>.","Contém <c38c9ff>ouro</c> e <c38c9ff><CARD_COUNT> cartas</c>.\nPelo menos <c38c9ff><EPIC_COUNT> épicas</c> e <c38c9ff><RARE_COUNT> raras</c>.","内含<c38c9ff>金币</c>和<c38c9ff><CARD_COUNT>张卡牌</c>。\n至少包含<c38c9ff><EPIC_COUNT>张史诗卡牌</c>和<c38c9ff><RARE_COUNT>张稀有卡牌</c>。","包含<c38c9ff>黃金</c>和<c38c9ff><CARD_COUNT> 張卡片</c>。\n可從中獲得至少 <c38c9ff><EPIC_COUNT> 張史詩卡片</c>以及 <c38c9ff><RARE_COUNT> 張稀有卡片</c>。"
"TID_CHEST_WOOD","Wooden chest","Coffre en bois","Holztruhe","Cofre de madera","Baule di legno","Houten kist","Trekiste","Tahta sandık","木の宝箱","나무 상자","Деревянный сундук","صندوق خشبي","Baú de madeira","木质宝箱","木質寶箱"
"TID_CHEST_SILVER","Silver chest","Coffre en argent","Silbertruhe","Cofre de plata","Baule d'argento","Zilveren kist","Sølvkiste","Gümüş sandık","銀の宝箱","실버 상자","Серебряный сундук","صندوق فضي","Baú de prata","白银宝箱","白銀寶箱"
"TID_CHEST_GOLD","Golden chest","Coffre en or","Goldtruhe","Cofre de oro","Baule d'oro","Gouden kist","Gullkiste","Altın sandık","金の宝箱","골드 상자","Золотой сундук","صندوق ذهبي","Baú de ouro","黄金宝箱","黃金寶箱"
"TID_CHEST_MAGICAL","Magical chest","Coffre magique","Magietruhe","Cofre mágico","Baule magico","Magische kist","Magisk kiste","Büyülü sandık","魔法の宝箱","마법 상자","Магический сундук","صندوق سحري","Baú mágico","魔法宝箱","魔幻寶箱"
"TID_CHEST_WOOD_NOTIFICATION","Wooden chest unlocked!","Coffre en bois débloqué !","Holztruhe freigeschaltet!","¡Cofre de madera desbloqueado!","Baule di legno sbloccato!","Houten kist ontgrendeld!","Trekiste låst opp!","Tahta sandığın kilidi açıldı!","木の宝箱がアンロックされました！","나무 상자 열림!","Открыт деревянный сундук!","تم فتح صندوق خشبي!","O baú de madeira foi aberto!","木质宝箱已解锁！","已解鎖木質寶箱！"
"TID_CHEST_SILVER_NOTIFICATION","Silver chest unlocked!","Coffre en argent débloqué !","Silbertruhe freigeschaltet!","¡Cofre de plata desbloqueado!","Baule d'argento sbloccato!","Zilveren kist ontgrendeld!","Sølvkiste låst opp!","Gümüş sandığın kilidi açıldı!","銀の宝箱がアンロックされました！","실버 상자 열림!","Открыт серебряный сундук!","تم فتح صندوق فضي!","O baú de prata foi aberto!","白银宝箱已解锁！","已解鎖白銀寶箱！"
"TID_CHEST_GOLD_NOTIFICATION","Golden chest unlocked!","Coffre en or débloqué !","Goldtruhe freigeschaltet!","¡Cofre de oro desbloqueado!","Baule d'oro sbloccato!","Gouden kist ontgrendeld!","Gullkiste låst opp!","Altın sandığın kilidi açıldı!","金の宝箱がアンロックされました！","골드 상자 열림!","Открыт золотой сундук!","تم فتح صندوق ذهبي!","O baú de ouro foi aberto!","黄金宝箱已解锁！","已解鎖黃金寶箱！"
"TID_CHEST_MAGICAL_NOTIFICATION","Magical chest unlocked!","Coffre magique débloqué !","Magietruhe freigeschaltet!","¡Cofre mágico desbloqueado!","Baule magico sbloccato!","Magische kist ontgrendeld!","Magisk kiste opplåst!","Büyülü sandığın kilidi açıldı!","魔法の宝箱がアンロックされました！","마법 상자 열림!","Открыт магический сундук!","تم فتح صندوق سحري!","Baú mágico aberto!","魔法宝箱已解锁！","已解鎖魔幻寶箱！"
"TID_CHEST_INFO_GOLD","<MIN> - <MAX>","<MIN> - <MAX>","<MIN>-<MAX>","<MIN>-<MAX>","<MIN> - <MAX>","<MIN> - <MAX>","<MIN>-<MAX>","<MIN> - <MAX>","<MIN>～<MAX>","<MIN> - <MAX>","<MIN> - <MAX>","<MIN> - <MAX>","<MIN> - <MAX>","<MIN> - <MAX>","<MIN> - <MAX>"
"TID_CHEST_INFO_CARDS","x<COUNT>","x<COUNT>","x<COUNT>","x<COUNT>","x<COUNT>","<COUNT> x","x<COUNT>","<COUNT> tane","x<COUNT>","x<COUNT>","х <COUNT>","x<COUNT>","x <COUNT>","x<COUNT>","x <COUNT>"
"TID_CONTAINS_AT_LEAST","Contains at least:","Contient au moins :","Enthält mindestens:","Contiene, al menos:","Contiene almeno:","Bevat ten minste:","Inneholder minst:","En az içerdiği miktar:","確定レア：","포함된 아이템:","Содержит минимум:","تحتوي على الأقل","Contém pelo menos:","至少包含：","至少含有："
"TID_RARES","Rares","Rares","Seltene","Especiales","Rare","Zeldzame","Sjeldne","Enderler","レア","희귀 카드","Редкие","نادر","Raras","张稀有卡牌","稀有"
"TID_EPICS","Epics","Épiques","Epische","Épicas","Epiche","Epische","Episke","Destansılar","スーパーレア","영웅 카드","Эпические","ممتاز","Épicas","张史诗卡牌","史詩"
"TID_FORGOT_TO_OPEN_CHEST_NOTIFICATION","Oops! You forgot to unlock a chest!","Aïe ! Vous avez oublié de débloquer un coffre !","Upps! Du hast vergessen, eine Truhe öffnen!","¡Uy! Se te ha olvidado desbloquear un cofre.","Ops! Hai dimenticato di sbloccare un baule!","Oeps! Je bent vergeten een kist te ontgrendelen!","Ops! Du glemte å låse opp en kiste!","Eyvah! Bir sandığın kilidini açmayı unuttun!","まだアンロックしていない\n宝箱があります！","엇! 상자 여는 걸 깜박하셨어요!","Опаньки! Не забудь открыть сундук!","ويحي! نسيت إلغاء قفل أحد الصناديق!","Ops! Você se esqueceu de desbloquear um baú!","糟糕！您忘了解锁宝箱！","哎呀！你忘記打開寶箱了！"
"TID_FORGOT_TO_OPEN_CHEST_2ND_NOTIFICATION","Did you forget to start unlocking a chest? Here's a reminder!","Avez-vous oublié de débloquer un coffre ? Voici un rappel !","Hast du vergessen, eine Truhe freizuschalten? Hier ist eine Erinnerung!","¿Se te ha olvidado empezar a abrir algún cofre? ¡Pues aquí tienes un recordatorio!","Hai dimenticato di iniziare a sbloccare un baule? Ecco un promemoria!","Ben je vergeten een kist te ontgrendelen? Hier is een herinnering!","Har du glemt at du har en kiste som kan låses opp? Her er en påminnelse!","Bir sandığın kilidini açmayı mı unuttun? İşte sana hatırlatma!","宝箱のアンロックを忘れていませんか？チェックしてみましょう！","상자 여는 걸 잊진 않으셨나요?","Забываешь открыть сундуки? А мы напоминаем!","هل نسيت البدء في فتح صندوق؟ إليك تذكير!","Esqueceu de começar a abrir um baú? Aqui está um lembrete!","您忘记去解锁宝箱了吗？这是个小小的提醒！","是不是忘記要解鎖寶箱了？所以我來提醒你囉！"
"TID_FREE_CHEST_NOTIFICATION","Free treasure chest is waiting for you!","Un coffre au trésor gratuit vous attend !","Eine kostenlose Schatztruhe erwartet dich!","¡Hay cofres gratis esperándote!","Un baule del tesoro in omaggio ti sta aspettando!","Er wacht een gratis schatkist op je!","En gratis skattkiste venter på deg!","Ücretsiz hazine sandığı seni bekliyor!","おまけの宝箱を開いてみましょう！","무료 보물 상자가 기다리고 있습니다!","Тебя ждет бесплатный сундук с сокровищами!","صندوق كنز مجاني في انتظارك!","Um baú do tesouro grátis espera por você!","免费藏宝箱在等着您哦！","免費寶箱等你來開！"
"TID_FREE_CHEST_2ND_NOTIFICATION","You have a free chest ready to open!","Un coffre gratuit est prêt à être débloqué !","Du kannst eine kostenlose Truhe öffnen!","¡Hay un cofre gratis esperando a que lo abras!","Hai un baule omaggio in attesa di essere aperto!","Er is een gratis kist om te openen!","Du har en gratiskiste som kan åpnes!","Açılmayı bekleyen ücretsiz bir sandığın var!","おまけの宝箱があります。開けてみましょう！","열지 않은 무료 상자가 있습니다!","Тебя ждет бесплатный сундук!","لديك صندوق مجاني في انتظار الفتح!","Você tem um baú grátis pronto para ser aberto!","您有一个免费宝箱可以打开了！","你有一個還沒打開的免費寶箱！"
"TID_CROWN_CHEST_NOTIFICATION","Crown chest available, time to battle!","Coffre à couronne disponible, vite, au combat !","Kronentruhe verfügbar - Zeit zu kämpfen!","Hay un cofre de coronas disponible. ¡A luchar!","Baule della corona disponibile. Inizia la battaglia!","Kroonkist beschikbaar. Tijd om te vechten!","Kronekiste tilgjengelig, gå i kamp!","Taç sandığı mevcut, savaş zamanı!","クラウン宝箱があります！ 開いてみましょう！","크라운 상자를 오픈할 수 있습니다. 전투를 준비하세요!","Доступен королевский сундук. В бой!","صندوق التاج متاح، حان وقت المعركة!","Baú da coroa disponível. Hora da batalha!","可以收集皇冠啦，开始对战吧！","已可取用皇冠寶箱，開戰時刻到了！"
"TID_CROWN_CHEST_2ND_NOTIFICATION","Crown chest available.","Coffre à couronne disponible","Kronentruhe verfügbar.","Hay un cofre de coronas disponible.","Baule della corona disponibile.","Kroonkist beschikbaar","Kronekiste tilgjengelig.","Taç sandığı mevcut.","まだ開いていないクラウン宝箱があります！","크라운 상자 오픈 가능","Доступен королевский сундук.","صندوق التاج متاح.","Baú da coroa disponível.","可以收集皇冠啦。","已可取用皇冠寶箱。"
"TID_REQUEST_AVAILABLE_NOTIFICATION","You have a card request available!","Demande de carte disponible !","Du hast eine Kartenanfrage!","Tienes una solicitud de carta disponible.","Hai una richiesta di carte disponibile!","Je kunt om een kaart vragen!","Du har en kortforespørsel tilgjengelig!","Bir kart isteğin var!","カードをリクエストできます！","카드 요청이 가능합니다!","Ты можешь попросить карту!","لديك طلب بطاقة متاح!","Você pode pedir uma carta.","您可以请求增援啦！","你可以請求一張卡片增援！"
"TID_REQUEST_AVAILABLE_2ND_NOTIFICATION","Remember to request cards from your clan!","Pensez à demander des cartes à votre clan !","Vergiss nicht, Karten von deinem Clan anzufordern!","Recuerda que puedes pedir cartas a tu clan.","Ricorda di richiedere carte al tuo clan!","Vergeet niet om je clan om kaarten te vragen!","Husk å be om kort fra klanen din!","Klanından kart istemeyi unutma!","クランにカードをリクエストできます！","클랜에 카드를 요청하는 걸 잊지 마세요!","Не забудь попросить карты у клана!","تذكر طلب البطاقات من قبيلتك!","Peça cartas ao seu clã.","别忘了向部落请求增援！","別忘了向你的部落請求卡片增援！"
"TID_VS","VS","contre","VS.","VS.","VS","VS","MOT","X","対","VS","ПРОТИВ","ضد","X","VS","VS"
"TID_VICTORY","VICTORY","VICTOIRE","SIEG","VICTORIA","VITTORIA","OVERWINNING","SEIER","ZAFER","勝利","승리","ПОБЕДА","انتصار","VITÓRIA","胜利","勝利"
"TID_DEFEAT","DEFEAT","DÉFAITE","NIEDERLAGE","DERROTA","SCONFITTA","NEDERLAAG","NEDERLAG","YENİLGİ","敗北","패배","ПОРАЖЕНИЕ","هزيمة","DERROTA","失败","戰敗"
"TID_DRAW","DRAW","ÉGALITÉ","UNENTSCHIEDEN","EMPATE","PAREGGIO","GELIJKSPEL","UAVGJORT","BERABERE","引き分け","무승부","НИЧЬЯ","تعادل","EMPATE","平局","平手"
"TID_BUTTON_OK","OK","OK","O. K.","Vale","OK","OK","OK","TAMAM","OK","확인","ДА","موافق","OK","确定","確定"
"TID_GOLD","Gold","OR","Gold","ORO","Oro","GOUD","GULL","Altın","ゴールド","골드","Золото","ذهب","OURO","金币","黃金"
"TID_DIAMONDS","GEMS","GEMMES","JUWELEN","GEMAS","GEMME","EDELSTENEN","JUVELER","Taş","エメラルド","보석","Кристаллы","جواهر","GEMAS","宝石","寶石"
"TID_TROPHIES","TROPHIES","TROPHÉES","TROPHÄEN","TROFEOS","TROFEI","TROFEEËN","TROFEER","KUPALAR","トロフィー","트로피","ТРОФЕИ","كؤوس","TROFÉUS","奖杯","獎盃"
"TID_SHOP_DIAMONDS","Gems","Gemmes","Juwelen","Gemas","Gemme","Edelstenen","Juveler","Taş","エメラルド","보석","Кристаллы","جواهر","Gemas","宝石","寶石"
"TID_COME_BACK_NOTIFICATION_SMALL","Battle Arena is waiting for you!","L'arène de combat vous attend !","Die Kampfarena erwartet dich!","¡La arena te espera!","L'arena da battaglia ti sta aspettando!","De arena wacht op je!","Kamparenaen venter!","Savaş Arenası seni bekliyor!","アリーナがあなたを待っています！","아레나가 기다리고 있습니다!","Арена ждет тебя!","ساحة المعركة في انتظارك!","A Arena de Batalha espera por você!","战斗竞技场在等着您！","對戰鬥技場等你來戰！"
